Receipt,Model,Item #,Item Name,Quantity,Unit Price,Item Total
IMG_1780.jpeg,grok-4-fast,1,Coffee,1,$11.80,$11.80
IMG_1780.jpeg,grok-4-fast,2,Pastry,1,,$8.62
IMG_1780.jpeg,gemini-3-flash,1,Coke Zero,2,$3.20,$6.40
IMG_1780.jpeg,gemini-3-flash,2,Porterhouse 750,1,$75.00,$75.00
IMG_1780.jpeg,gemini-3-flash,3,Burger,1,$13.00,$13.00
IMG_1780.jpeg,gemini-3-flash,4,Chips,1,$4.80,$4.80
IMG_1780.jpeg,gemini-3-flash,5,Sweet Potato,2,$4.80,$9.60
IMG_1780.jpeg,gemini-3-flash,6,Broccoli and Walnut Salad,2,$4.80,$9.60
IMG_1780.jpeg,gemini-3-flash,7,Chop Sauce,1,$3.00,$3.00
IMG_1780.jpeg,gemini-3-flash,8,Chilli Hollandaise,1,$2.00,$2.00
IMG_1780.jpeg,claude-haiku-4.5,1,Cola Zero,2,,$4.00
IMG_1780.jpeg,claude-haiku-4.5,2,Portirus 750,1,,$7.50
IMG_1780.jpeg,claude-haiku-4.5,3,Oats,1,,$0.30
IMG_1780.jpeg,gpt-4o-mini,1,Poke Zaru,2,$7.50,$15.00
IMG_1780.jpeg,gpt-4o-mini,2,Chips,1,$6.50,$6.50
IMG_1780.jpeg,gpt-4o-mini,3,Sweet Potato and Walnut Salad,1,$8.80,$8.80
IMG_1780.jpeg,gpt-4o-mini,4,Chili Poblano Tacos,1,$12.50,$12.50
IMG_1963.jpeg,grok-4-fast,1,Pad Thai,1,$10.95,$10.95
IMG_1963.jpeg,grok-4-fast,2,Green Curry,1,$11.95,$11.95
IMG_1963.jpeg,grok-4-fast,3,Spring Rolls,2,$3.95,$7.90
IMG_1963.jpeg,gemini-3-flash,1,Red Curry Duck & Pineapp,1,$18.00,$18.00
IMG_1963.jpeg,gemini-3-flash,2,Jasmine Rice,2,$3.75,$7.50
IMG_1963.jpeg,gemini-3-flash,3,Khao Mun Chicken,1,$16.00,$16.00
IMG_1963.jpeg,gemini-3-flash,4,Bubble Tea Milky Thai,1,$5.00,$5.00
IMG_1963.jpeg,gemini-3-flash,5,Green Curry Chicken,1,$14.50,$14.50
IMG_1963.jpeg,claude-haiku-4.5,1,All Day Food,1,$18.00,$18.00
IMG_1963.jpeg,claude-haiku-4.5,2,Red Curry Duck & Priscep,1,$7.50,$7.50
IMG_1963.jpeg,claude-haiku-4.5,3,Jasmine Rice,2,$16.00,$16.00
IMG_1963.jpeg,claude-haiku-4.5,4,Coffee,1,$5.00,$5.00
IMG_1963.jpeg,claude-haiku-4.5,5,Bubble Tea Milky Tea,1,$14.50,$14.50
IMG_1963.jpeg,claude-haiku-4.5,6,Green Curry Chicken,1,$6.00,$6.00
IMG_1963.jpeg,claude-haiku-4.5,7,Pad Thai,1,$17.63,$17.63
IMG_1963.jpeg,gpt-4o-mini,1,2x Chilli Duck & Pineapple,1,$18.00,$18.00
IMG_1963.jpeg,gpt-4o-mini,2,2x Jasmine Rice,1,$5.00,$5.00
IMG_1963.jpeg,gpt-4o-mini,3,3x Thai Green Chicken Curry,1,$15.00,$15.00
IMG_1963.jpeg,gpt-4o-mini,4,1x Double Treble Micky Thai,1,$14.50,$14.50
IMG_4943.jpeg,grok-4-fast,1,とん汁,1,$4.80,$4.80
IMG_4943.jpeg,grok-4-fast,2,ご飯大盛,1,$3.10,$3.10
IMG_4943.jpeg,grok-4-fast,3,お茶,1,$3.00,$3.00
IMG_4943.jpeg,gemini-3-flash,1,ゴーヤーチャンプルー,1,$9.00,$9.00
IMG_4943.jpeg,gemini-3-flash,2,グルクン唐揚げ,1,$10.00,$10.00
IMG_4943.jpeg,gemini-3-flash,3,ライス,2,$2.00,$4.00
IMG_4943.jpeg,gemini-3-flash,4,フーチャンプルー,1,$9.00,$9.00
IMG_4943.jpeg,gemini-3-flash,5,ジーマミー豆腐,1,$5.00,$5.00
IMG_4943.jpeg,gemini-3-flash,6,ヘチマみそ,1,$9.00,$9.00
IMG_4943.jpeg,gemini-3-flash,7,しょうがやき 県産豚の,1,$13.00,$13.00
IMG_4943.jpeg,gemini-3-flash,8,ソーメンチャンプルー,1,$10.00,$10.00
IMG_4943.jpeg,gemini-3-flash,9,コーラ,1,$4.00,$4.00
IMG_4943.jpeg,gemini-3-flash,10,シークワーサージュース,2,$4.00,$8.00
IMG_4943.jpeg,gemini-3-flash,11,海ぶどう,1,$9.00,$9.00
IMG_4943.jpeg,claude-haiku-4.5,1,Item 1,1,$9000.00,$9000.00
IMG_4943.jpeg,gpt-4o-mini,1,トマト,2,$9.00,$18.00
IMG_4943.jpeg,gpt-4o-mini,2,きのこ,1,$4.00,$4.00
IMG_4943.jpeg,gpt-4o-mini,3,ご飯,2,$4.00,$8.00
IMG_4943.jpeg,gpt-4o-mini,4,フライ,1,$9.00,$9.00
IMG_4943.jpeg,gpt-4o-mini,5,ビール,2,$5.00,$10.00
IMG_6232.jpeg,grok-4-fast,1,Nuggets,3,$3.65,$10.95
IMG_6232.jpeg,grok-4-fast,2,Unknown item,,,$4.79
IMG_6232.jpeg,gemini-3-flash,1,ADULT FULL BUFFET,1,$38.00,$38.00
IMG_6232.jpeg,claude-haiku-4.5,1,1 ADULT FULL BUFFET,1,$38.00,$38.00
IMG_6232.jpeg,gpt-4o-mini,1,1 ADULT FULL BUFFET,1,$38.00,$38.00
