Receipt,claude-haiku-4.5 Total,claude-haiku-4.5 Items,gemini-3-flash Total,gemini-3-flash Items,gpt-4o-mini Total,gpt-4o-mini Items,grok-4-fast Total,grok-4-fast Items
IMG_1780.jpeg,$13.82,3,$138.82,8,$138.82,4,$13.86,2
IMG_1963.jpeg,$61.63,7,$68.63,5,$68.63,4,$28.50,3
IMG_4943.jpeg,$9000.00,1,$90.00,11,$90.00,5,$11.80,3
IMG_6232.jpeg,$40.95,1,$46.00,1,$46.00,1,$16.24,2
IMG_6380.jpeg,$51.89,1,$95.00,1,$81.89,1,$97.84,1
IMG_6449.jpeg,$27.84,5,$27.84,3,$27.84,3,$30.20,1
IMG_6656.jpeg,$217.80,9,$217.80,9,$217.80,9,$21.78,4
IMG_8246.jpeg,$2850.00,3,$22.85,3,$22.85,3,$22.85,4
camphoto_341603450.jpg,$11.25,1,$11.25,1,$100.00,1,,0
camphoto_959030623.jpg,$15.17,5,$15.17,5,$15.17,3,$10.17,2
