Receipt,Model,Success,Merchant,Date,Currency,Total,Subtotal,Tax,Tip,Service,Discount,Item Count,Latency (ms),Cost ($),Error
IMG_1780.jpeg,grok-4-fast,Yes,Starbucks,,USD,$13.86,$11.80,$2.06,,,,2,6227,0.00047,
IMG_1780.jpeg,gemini-3-flash,Yes,Blacklock Covent Garden,2024-09-11,GBP,$138.82,$123.40,,,$15.42,,8,3348,0.00213,
IMG_1780.jpeg,claude-haiku-4.5,Yes,Starbucks,2024-11-23,GBP,$13.82,$11.80,,,,,3,4699,0.00305,
IMG_1780.jpeg,gpt-4o-mini,Yes,Gordon Ramsay,2023-10-17,GBP,$138.82,$133.30,,,$2.12,,4,6284,0.00401,
IMG_1963.jpeg,grok-4-fast,Yes,Rosa's Thai,,USD,$28.50,$25.00,$3.50,,,,3,6455,0.00054,
IMG_1963.jpeg,gemini-3-flash,Yes,ROSA'S THAI,2024-10-05,GBP,$68.63,$61.00,$10.17,,$7.63,,5,3542,0.00175,
IMG_1963.jpeg,claude-haiku-4.5,Yes,ROSAS THAI,2022-05-18,THB,$61.63,$61.63,,,,,7,6474,0.00398,
IMG_1963.jpeg,gpt-4o-mini,Yes,ROSA'S THAI,2022-10-05,GBP,$68.63,$61.60,$7.03,,$0.00,,4,6362,0.00402,
IMG_4943.jpeg,grok-4-fast,Yes,すき家,2023-10-15,JPY,$11.80,$10.90,$0.90,,,,3,9607,0.00071,
IMG_4943.jpeg,gemini-3-flash,Yes,,2025-09-14,JPY,$90.00,$81.82,$8.18,$0.00,$0.00,,11,4171,0.00257,
IMG_4943.jpeg,claude-haiku-4.5,Yes,,,JPY,$9000.00,,,,,,1,3583,0.00260,
IMG_4943.jpeg,gpt-4o-mini,Yes,グルメシーイングラスフライ,2023-09-14,JPY,$90.00,,,,,,5,7162,0.00403,
IMG_6232.jpeg,grok-4-fast,Yes,Modern,,CAD,$16.24,$15.74,$0.50,,,,2,31589,0.00148,
IMG_6232.jpeg,gemini-3-flash,Yes,Marina Kitchen,2025-12-04,USD,$46.00,$38.00,$2.95,$5.05,,,1,2081,0.00118,
IMG_6232.jpeg,claude-haiku-4.5,Yes,Puesto,,USD,$40.95,$38.00,$32.95,,$40.95,,1,4310,0.00267,
IMG_6232.jpeg,gpt-4o-mini,Yes,San Diego Marriott Marquis & Marina,2023-12-04,USD,$46.00,$38.00,$5.00,$5.05,,,1,4000,0.00395,
IMG_6380.jpeg,grok-4-fast,Yes,Modern Kitchen,,CAD,$97.84,$84.37,$13.47,,,,1,22219,0.00075,
IMG_6380.jpeg,gemini-3-flash,Yes,Marina Kitchen - San Diego Marriott Marquis & Marina,2025-12-07,USD,$95.00,$76.00,$5.89,$13.11,,,1,2865,0.00120,
IMG_6380.jpeg,claude-haiku-4.5,Yes,MODERN,,USD,$51.89,$47.00,$4.89,,,,1,3701,0.00265,
IMG_6380.jpeg,gpt-4o-mini,Yes,Marcus Marina,2022-12-25,USD,$81.89,$76.00,$5.89,$13.11,,,1,5277,0.00395,
IMG_6449.jpeg,grok-4-fast,Yes,,,HKD,$30.20,$24.90,$5.30,,,,1,22408,0.00060,
IMG_6449.jpeg,gemini-3-flash,Yes,TOMMY V'S PIZZA,2025-07-12,USD,$27.84,$25.23,$2.11,$0.00,$0.50,,3,2843,0.00151,
IMG_6449.jpeg,claude-haiku-4.5,Yes,Kolhapuri,2025-12-02,INR,$27.84,$25.23,$2.61,,,,5,6709,0.00353,
IMG_6449.jpeg,gpt-4o-mini,Yes,TOMMY V PIZZA,2023-12-07,USD,$27.84,$25.23,$2.61,,,,3,5762,0.00399,
IMG_6656.jpeg,grok-4-fast,Yes,Troller Hut,2026-01-08,GBP,$21.78,$19.80,,,$1.98,,4,68275,0.00453,
IMG_6656.jpeg,gemini-3-flash,Yes,Tiroler Hut,2026-01-08,GBP,$217.80,$198.00,$33.00,$0.00,$19.80,$0.00,9,3797,0.00234,
IMG_6656.jpeg,claude-haiku-4.5,Yes,Tiroler Hut,2026-01-08,GBP,$217.80,$198.00,$33.00,,$19.80,,9,6526,0.00454,
IMG_6656.jpeg,gpt-4o-mini,Yes,Tiroler Hut,2026-01-08,GBP,$217.80,$198.00,$33.00,$19.80,$19.80,,9,8783,0.00413,
IMG_8246.jpeg,grok-4-fast,Yes,Coop,2023-01-01,JPY,$22.85,,,,,,4,12992,0.00084,
IMG_8246.jpeg,gemini-3-flash,Yes,CoCo ICHIBANYA,2024-03-13,JPY,$22.85,$22.85,,,,,3,2806,0.00155,
IMG_8246.jpeg,claude-haiku-4.5,Yes,Coo Coo,2024-01-13,JPY,$2850.00,,,,,,3,4939,0.00313,
IMG_8246.jpeg,gpt-4o-mini,Yes,Coco壱番屋,2022-03-13,JPY,$22.85,$20.45,$2.40,,,,3,6246,0.00399,
camphoto_341603450.jpg,grok-4-fast,Yes,Shepherds Bush Post Office,2025-11-11,GBP,,,,,,,0,21512,0.00061,
camphoto_341603450.jpg,gemini-3-flash,Yes,Post Office Ltd. (Shepherds Bush),2025-11-19,GBP,$11.25,$11.25,$0.00,$0.00,$0.00,$0.00,1,2118,0.00122,
camphoto_341603450.jpg,claude-haiku-4.5,Yes,Post Office Ltd,2025-11-19,GBP,$11.25,,,,,,1,3889,0.00268,
camphoto_341603450.jpg,gpt-4o-mini,Yes,Post Office Ltd.,2025-11-19,GBP,$100.00,$11.25,,,,,1,4672,0.00394,
camphoto_959030623.jpg,grok-4-fast,Yes,abokado,2025-06-10,GBP,$10.17,$8.49,$1.68,,,,2,63452,0.00331,
camphoto_959030623.jpg,gemini-3-flash,Yes,abokado,2025-06-10,GBP,$15.17,$18.67,,,,$3.50,5,3669,0.00170,
camphoto_959030623.jpg,claude-haiku-4.5,Yes,abokado,2025-10-06,GBP,$15.17,$18.67,,$0.00,,$3.50,5,4507,0.00359,
camphoto_959030623.jpg,gpt-4o-mini,Yes,abokado,2025-10-06,GBP,$15.17,$18.87,,,,$3.50,3,4785,0.00399,
